horizon,model,strategy_total_return,strategy_cagr,strategy_ann_vol,strategy_sharpe,strategy_sortino,strategy_max_drawdown,strategy_calmar,strategy_win_rate_daily,strategy_profit_factor,strategy_exposure,strategy_turnover,strategy_beta_to_buy_hold,strategy_alpha_annualized,strategy_information_ratio,buy_hold_total_return,buy_hold_sharpe
5,MACD 12-26-9,0.42741903608325105,0.10186100383743746,0.11474683935012003,0.9119070232840213,0.04918815286806464,-0.17791181053636862,0.572536491705339,0.307103825136612,1.2521811567100951,0.5344262295081967,0.06994535519125683,0.3515876795299508,0.06902329268529503,0.021435553791756927,0.34903593692112045,0.5234249215174105
5,SVC,0.674602118339181,0.15088685754009878,0.1406733560113603,1.0802569634760082,0.0687572090046332,-0.140298835822385,1.0754676377437513,0.4087431693989071,1.261473783677409,0.7125683060109289,0.2174863387978142,0.5291768243172493,0.09835877743289582,0.3818667272673827,0.34903593692112045,0.5234249215174105
5,SVR,0.03795861846172133,0.010206754943252738,0.1404887621149151,0.14383617679059701,0.007083884282278285,-0.13809620206333806,0.07391046814286313,0.2644808743169399,1.0393757677538802,0.4721311475409836,0.3289617486338798,0.5268006442625021,-0.03315652607786442,-0.6090072839649427,0.34903593692112045,0.5234249215174105
5,Random Forest,0.39935095251297614,0.0959125530633631,0.1538643711443598,0.6788939003780732,0.04042464377295649,-0.18659291781863274,0.5140203293063329,0.4,1.1678668260053013,0.7049180327868853,0.19781420765027322,0.6321302446679503,0.0404240045253891,0.026918195060708448,0.34903593692112045,0.5234249215174105
5,XGBoost,0.3894219695104486,0.09378753133855344,0.17215035696157002,0.6127588752842641,0.04025045744266946,-0.22227382796146267,0.42194590428709455,0.4666666666666667,1.135001174680707,0.819672131147541,0.16612021857923498,0.7913123854866768,0.02532823574034268,0.04738278735989997,0.34903593692112045,0.5234249215174105
5,LightGBM,0.30420499853537564,0.07507894102454227,0.16309624405425946,0.5305643256718717,0.03164729842806444,-0.19856983167505127,0.37809842709342106,0.4010928961748634,1.1270095909142026,0.7016393442622951,0.21311475409836064,0.7100867850647063,0.014602622543577427,-0.14166155504998754,0.34903593692112045,0.5234249215174105
5,CatBoost,0.2779126704761812,0.06912754378234354,0.15657735780913856,0.510108413822108,0.03081427392345036,-0.18808553280580242,0.3675324877523539,0.4054644808743169,1.1214797000378405,0.7180327868852459,0.20655737704918034,0.6544008536828912,0.013581879223935792,-0.18828126728676817,0.34903593692112045,0.5234249215174105
5,HMM Regime,0.8484825965802434,0.18229839180088492,0.11620873379896463,1.514779742248166,0.08602479729293555,-0.09429888901556172,1.9331976622842402,0.33989071038251367,1.431257278383099,0.5726775956284152,0.048087431693989074,0.36196063304099646,0.13936471956433752,0.48396583841214025,0.34903593692112045,0.5234249215174105
20,MACD 12-26-9,0.42741903608325105,0.10186100383743746,0.11474683935012003,0.9119070232840213,0.04918815286806464,-0.17791181053636862,0.572536491705339,0.307103825136612,1.2521811567100951,0.5344262295081967,0.06994535519125683,0.3515876795299508,0.06902329268529503,0.021435553791756927,0.34903593692112045,0.5234249215174105
20,SVC,0.3820013315681978,0.09219212658474008,0.14097117211935897,0.703062258120672,0.04037136614306579,-0.2042143717919913,0.4514477887905222,0.3519125683060109,1.1801948614179367,0.6240437158469946,0.23278688524590163,0.5305767237229669,0.0453651085077117,-0.016490089958678553,0.34903593692112045,0.5234249215174105
