horizon,as_of_date,current_regime,regime_expected_return,regime_state_mean_map
5,2026-07-01,2,0.013126098104507194,"{0: -0.007483994809143657, 1: -0.0032930870757910537, 2: 0.013126098104507194, 3: 0.005028007831053387}"
20,2026-07-01,3,0.05109314257357345,"{0: 0.014916729239320943, 1: -0.0043439337960461824, 2: 0.0020529456551097677, 3: 0.05109314257357345}"
60,2026-07-01,3,0.06248787753098853,"{0: 0.04210488213713153, 1: 0.029298170536558858, 2: -0.012865120902088968, 3: 0.06248787753098853}"
