horizon,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,mae,rmse,r2,spearman_ic,pred_return_mean,pred_return_std,strategy_total_return,strategy_cagr,strategy_ann_vol,strategy_sharpe,strategy_sortino,strategy_max_drawdown,strategy_calmar,strategy_win_rate_daily,strategy_profit_factor,strategy_exposure,strategy_turnover,strategy_beta_to_buy_hold,strategy_alpha_annualized,strategy_information_ratio,buy_hold_total_return,buy_hold_sharpe,composite_score,rank_score
5,SVC,0.5617486338797815,0.5283295080037664,0.5996932515337423,0.736346516007533,0.6610312764158918,0.5277728735091024,123,261,140,391,0.021223094324525935,0.028731354662139816,-0.04195570117165737,0.03909437765420072,0.004946367817372334,0.0066212391624393,0.674602118339181,0.15088685754009878,0.1406733560113603,1.0802569634760082,0.0687572090046332,-0.140298835822385,1.0754676377437513,0.4087431693989071,1.261473783677409,0.7125683060109289,0.2174863387978142,0.5291768243172493,0.09835877743289582,0.3818667272673827,0.34903593692112045,0.5234249215174105,0.5858453628817527,0.825
5,HMM Regime,0.546448087431694,0.5356932674199624,0.6106870229007634,0.6026365348399246,0.6066350710900474,0.5320224223163842,180,204,211,320,0.021402754892687295,0.028991328311947586,-0.06089713667076313,0.04785058793582302,0.002551348365904971,0.008736775418928883,0.8484825965802434,0.18229839180088492,0.11620873379896463,1.514779742248166,0.08602479729293555,-0.09429888901556172,1.9331976622842402,0.33989071038251367,1.431257278383099,0.5726775956284152,0.048087431693989074,0.36196063304099646,0.13936471956433752,0.48396583841214025,0.34903593692112045,0.5234249215174105,0.5901393160144747,0.75
5,Random Forest,0.5497267759562842,0.5172507650659134,0.5922480620155038,0.71939736346516,0.6496598639455783,0.5252569836785939,121,263,149,382,0.0212032520947866,0.028455188531208354,-0.022021386490397754,0.012597071629949275,0.0012292858213061634,0.00571135682997632,0.39935095251297614,0.0959125530633631,0.1538643711443598,0.6788939003780732,0.04042464377295649,-0.18659291781863274,0.5140203293063329,0.4,1.1678668260053013,0.7049180327868853,0.19781420765027322,0.6321302446679503,0.0404240045253891,0.026918195060708448,0.34903593692112045,0.5234249215174105,0.563478291642052,0.675
5,MACD 12-26-9,0.5234972677595628,0.518442502354049,0.5971370143149284,0.5499058380414312,0.5725490196078431,0.5184425023540489,187,197,239,292,0.02104814138364453,0.028239081801984887,-0.006556579306523869,0.02544871830488099,0.0016885162249996538,0.004370934245330083,0.42741903608325105,0.10186100383743746,0.11474683935012003,0.9119070232840213,0.04918815286806464,-0.17791181053636862,0.572536491705339,0.307103825136612,1.2521811567100951,0.5344262295081967,0.06994535519125683,0.3515876795299508,0.06902329268529503,0.021435553791756927,0.34903593692112045,0.5234249215174105,0.5573623378317037,0.675
5,XGBoost,0.546448087431694,0.49496086393596983,0.5773333333333334,0.815442561205273,0.6760343481654957,0.48840140458254866,67,317,98,433,0.021508751266390087,0.02886575876375415,-0.05172695488254475,-0.007812673778841723,0.00039825571002438664,0.006883933674544096,0.3894219695104486,0.09378753133855344,0.17215035696157002,0.6127588752842641,0.04025045744266946,-0.22227382796146267,0.42194590428709455,0.4666666666666667,1.135001174680707,0.819672131147541,0.16612021857923498,0.7913123854866768,0.02532823574034268,0.04738278735989997,0.34903593692112045,0.5234249215174105,0.5544434732772698,0.5
5,CatBoost,0.5366120218579234,0.5016257650659134,0.5814307458143074,0.71939736346516,0.6430976430976431,0.5026924435028248,109,275,149,382,0.02131774453648612,0.028523013456603373,-0.026899311441204832,0.004642962934650702,0.00141370416944331,0.005722568406431737,0.2779126704761812,0.06912754378234354,0.15657735780913856,0.510108413822108,0.03081427392345036,-0.18808553280580242,0.3675324877523539,0.4054644808743169,1.1214797000378405,0.7180327868852459,0.20655737704918034,0.6544008536828912,0.013581879223935792,-0.18828126728676817,0.34903593692112045,0.5234249215174105,0.54854020252094,0.475
5,SVR,0.5114754098360655,0.5163753531073446,0.5972222222222222,0.4858757062146893,0.5358255451713395,0.5024178044569994,210,174,273,258,0.03048135133279622,0.0404569547198704,-1.0659672266140405,0.03595565548158919,-0.004365346329857039,0.029542458790059574,0.03795861846172133,0.010206754943252738,0.1404887621149151,0.14383617679059701,0.007083884282278285,-0.13809620206333806,0.07391046814286313,0.2644808743169399,1.0393757677538802,0.4721311475409836,0.3289617486338798,0.5268006442625021,-0.03315652607786442,-0.6090072839649427,0.34903593692112045,0.5234249215174105,0.5235141599205624,0.325
5,LightGBM,0.526775956284153,0.4942325800376648,0.5763239875389408,0.696798493408663,0.6308610400682012,0.4643018283113622,112,272,161,370,0.02213192332576428,0.029643992820769516,-0.10920149906764265,-0.08602528373835529,5.8694331374862396e-05,0.0080906336617437,0.30420499853537564,0.07507894102454227,0.16309624405425946,0.5305643256718717,0.03164729842806444,-0.19856983167505127,0.37809842709342106,0.4010928961748634,1.1270095909142026,0.7016393442622951,0.21311475409836064,0.7100867850647063,0.014602622543577427,-0.14166155504998754,0.34903593692112045,0.5234249215174105,0.5344165490093462,0.275
20,MACD 12-26-9,0.5387978142076503,0.5328651093748433,0.6380368098159509,0.5601436265709157,0.5965583173996176,0.5328651093748433,181,177,245,312,0.042990899404319514,0.056590913305420106,-0.012993987332969859,0.033809966039991826,0.008646940731941005,0.00875957118318914,0.42741903608325105,0.10186100383743746,0.11474683935012003,0.9119070232840213,0.04918815286806464,-0.17791181053636862,0.572536491705339,0.307103825136612,1.2521811567100951,0.5344262295081967,0.06994535519125683,0.3515876795299508,0.06902329268529503,0.021435553791756927,0.34903593692112045,0.5234249215174105,0.5694904953229273,0.8
20,XGBoost,0.5704918032786885,0.5344473085062637,0.6331168831168831,0.7001795332136446,0.6649616368286445,0.5708454108702847,132,226,167,390,0.044746508037354714,0.058431222894258006,-0.07994941367389896,0.013688453691611202,0.003686481388285756,0.015491938218474388,0.08964867992320857,0.023677960201342163,0.16413303593966022,0.2267129907984973,0.01293702429899624,-0.18107254576205212,0.13076504834950203,0.3825136612021858,1.0544674466503785,0.673224043715847,0.1377049180327869,0.7190277314951343,-0.03562503542062102,-0.6244474764433814,0.34903593692112045,0.5234249215174105,0.5583279700074728,0.7
