horizon,model,feature,importance
20,LightGBM,sma_ratio_60,153.0
20,LightGBM,vol_10,117.0
20,LightGBM,macd,99.0
20,LightGBM,macd_hist,98.0
20,LightGBM,ret_20,73.0
20,LightGBM,range_pct,59.0
20,LightGBM,sma_ratio_20,54.0
20,LightGBM,mom_120,47.0
20,LightGBM,volume_z_60,46.0
20,LightGBM,volume_z_120,40.0
20,LightGBM,rsi_14,38.0
20,LightGBM,vol_5,28.0
20,LightGBM,sma_ratio_3,25.0
20,CatBoost,vol_60,15.273822789474215
20,CatBoost,vol_120,12.008077818255645
20,CatBoost,mom_120,8.545490430166682
20,CatBoost,sma_ratio_120,7.816589421773672
20,CatBoost,vol_20,7.027500723950304
20,CatBoost,sma_ratio_60,6.3733413916887445
20,CatBoost,ret_120,5.996465171045858
20,CatBoost,ret_60,5.045601753946254
20,CatBoost,vol_10,4.333369532262168
20,CatBoost,mom_60,4.266701763423977
20,CatBoost,macd_signal,3.7798449470569775
20,CatBoost,sma_ratio_20,2.995881662607262
20,CatBoost,mom_20,2.303900735617464
20,CatBoost,vol_5,2.177878794729867
20,CatBoost,ret_20,1.8633685739385477
20,CatBoost,macd_hist,1.8277255015290825
20,CatBoost,macd,1.7078368061165496
20,CatBoost,range_pct,1.679327565461271
20,CatBoost,sma_ratio_10,0.8782111616968729
20,CatBoost,volume_z_60,0.8677202061746808
60,Random Forest,vol_120,0.22010925470621098
60,Random Forest,vol_20,0.10087141949043324
60,Random Forest,vol_60,0.09188950948557995
60,Random Forest,ret_120,0.08694248614645024
60,Random Forest,mom_120,0.08331150522028877
60,Random Forest,range_pct,0.05848659628112159
60,Random Forest,sma_ratio_120,0.054786762173402684
60,Random Forest,macd_signal,0.050398035984275474
60,Random Forest,macd,0.03363661582541684
60,Random Forest,mom_60,0.033138860593720385
60,Random Forest,ret_60,0.030933650795955003
60,Random Forest,vol_10,0.029107511077897386
60,Random Forest,sma_ratio_60,0.02395442881009073
60,Random Forest,sma_ratio_20,0.014476304897365387
60,Random Forest,macd_hist,0.010713910959092618
60,Random Forest,mom_20,0.010100901375012584
60,Random Forest,ret_20,0.009729947879048257
60,Random Forest,volume_z_120,0.007033334636209983
60,Random Forest,rsi_14,0.006994429232324471
60,Random Forest,vol_5,0.005718416817357558
60,XGBoost,sma_ratio_60,0.11789107322692871
60,XGBoost,vol_120,0.08219007402658463
60,XGBoost,sma_ratio_120,0.07684528827667236
60,XGBoost,ret_60,0.0649932250380516
60,XGBoost,vol_20,0.06465879082679749
60,XGBoost,sma_ratio_20,0.06319635361433029
60,XGBoost,macd_signal,0.06276413798332214
60,XGBoost,ret_120,0.05778764560818672
60,XGBoost,vol_60,0.05457913503050804
60,XGBoost,range_pct,0.05432860925793648
60,XGBoost,mom_120,0.04825688898563385
60,XGBoost,rsi_14,0.03853899985551834
60,XGBoost,vol_10,0.03662511333823204
60,XGBoost,ret_20,0.03504645451903343
60,XGBoost,volume_chg,0.029270563274621964
60,XGBoost,macd,0.027509592473506927
60,XGBoost,mom_20,0.0250395517796278
60,XGBoost,macd_hist,0.023509053513407707
60,XGBoost,volume_z_120,0.016936901956796646
60,XGBoost,ret_10,0.01143178902566433
60,LightGBM,vol_120,294.0
60,LightGBM,ret_120,225.0
60,LightGBM,vol_20,138.0
60,LightGBM,vol_60,115.0
60,LightGBM,sma_ratio_120,104.0
60,LightGBM,ret_60,77.0
60,LightGBM,range_pct,67.0
60,LightGBM,macd_signal,64.0
60,LightGBM,macd,48.0
60,LightGBM,sma_ratio_60,39.0
60,LightGBM,ret_20,38.0
60,LightGBM,macd_hist,38.0
60,LightGBM,vol_10,28.0
60,LightGBM,sma_ratio_20,21.0
60,LightGBM,mom_120,18.0
60,LightGBM,volume_chg,16.0
60,LightGBM,ret_10,14.0
60,LightGBM,vol_5,13.0
60,LightGBM,volume_z_120,9.0
60,LightGBM,rsi_14,8.0
60,CatBoost,vol_120,22.77616713310173
60,CatBoost,ret_120,10.321503349287015
60,CatBoost,mom_120,9.991266401520303
60,CatBoost,sma_ratio_120,8.653847042653872
60,CatBoost,vol_20,7.955433447126012
